GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
registration-backend,si.konferenca.registration.config,AppProperties.OptionEntry,0,15,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Recaptcha,0,15,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Cors,9,16,3,1,1,4,3,1,1,1
registration-backend,si.konferenca.registration.config,AppProperties.Backup,0,6,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties,11,35,2,2,0,4,2,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.ConsentEntry,0,12,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,ApplicationConfig,0,5,0,0,0,2,0,2,0,2
registration-backend,si.konferenca.registration.config,AppProperties.Conference,4,19,2,2,0,4,2,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Mail,3,25,2,2,1,4,2,2,0,2
registration-backend,si.konferenca.registration.config,AppProperties.Request,0,6,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.RateLimit,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Organizer,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.web,ConferenceController,2,41,1,1,0,8,1,2,0,2
registration-backend,si.konferenca.registration.web,ApiExceptionHandler,37,88,3,7,8,19,7,12,4,10
registration-backend,si.konferenca.registration.web,RegistrationController,0,22,0,0,0,6,0,2,0,2
registration-backend,si.konferenca.registration.web,ExportController,0,51,0,0,0,16,0,3,0,3
registration-backend,si.konferenca.registration.infrastructure.backup,FileRegistrationBackup,6,61,0,0,3,14,0,3,0,3
registration-backend,si.konferenca.registration,Application,5,3,0,0,2,1,1,1,1,1
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse.ConsentDto,0,22,0,0,0,2,0,2,0,2
registration-backend,si.konferenca.registration.web.dto,ErrorResponse,2,24,1,1,0,4,1,2,0,2
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse.RecaptchaDto,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse.OptionDto,0,22,0,0,0,2,0,2,0,2
registration-backend,si.konferenca.registration.web.dto,RegistrationResponse,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse,0,12,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.web.dto,RegistrationRequest,0,62,0,0,0,2,0,2,0,2
registration-backend,si.konferenca.registration.infrastructure.captcha,RecaptchaVerifier,70,72,14,8,20,19,10,5,1,3
registration-backend,si.konferenca.registration.infrastructure.captcha,RecaptchaVerifier.SiteVerifyResponse,6,0,0,0,1,0,1,0,1,0
registration-backend,si.konferenca.registration.web.filter,RegistrationRateLimitFilter,0,52,1,5,0,14,1,5,0,3
registration-backend,si.konferenca.registration.web.filter,ErrorResponseWriter,0,23,0,0,0,8,0,2,0,2
registration-backend,si.konferenca.registration.web.filter,RequestSizeLimitFilter,0,43,0,4,0,11,0,5,0,3
registration-backend,si.konferenca.registration.web.filter,RequestSizeLimitFilter.BoundedRequest,0,22,1,1,0,6,1,2,0,2
registration-backend,si.konferenca.registration.web.filter,PayloadTooLargeException,4,0,0,0,2,0,1,0,1,0
registration-backend,si.konferenca.registration.web.filter,FixedWindowRateLimiter.Window,2,28,1,1,0,3,1,3,0,3
registration-backend,si.konferenca.registration.web.filter,RequestSizeLimitFilter.BoundedInputStream,17,48,3,3,5,15,6,4,3,4
registration-backend,si.konferenca.registration.web.filter,FixedWindowRateLimiter,26,81,5,7,2,18,5,5,1,3
registration-backend,si.konferenca.registration.infrastructure.mail,SmtpRegistrationNotifier,24,120,1,1,11,33,1,6,0,6
registration-backend,si.konferenca.registration.infrastructure.mail,RegistrationMailContent,4,198,2,10,1,51,2,9,0,5
registration-backend,si.konferenca.registration.application,FieldViolation,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationValidator,15,335,5,29,3,72,5,30,0,18
registration-backend,si.konferenca.registration.application,RegistrationService.StoredRegistration,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationJsonMapper.Option,0,12,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationJsonMapper.Document,0,81,0,0,0,16,0,3,0,3
registration-backend,si.konferenca.registration.application,ExportService,7,16,0,0,2,5,0,2,0,2
registration-backend,si.konferenca.registration.application,CaptchaFailedException,0,4,0,0,0,2,0,1,0,1
registration-backend,si.konferenca.registration.application,CaptchaUnavailableException,5,0,0,0,2,0,1,0,1,0
registration-backend,si.konferenca.registration.application,ConferenceCatalog,37,163,9,13,7,32,9,12,0,10
registration-backend,si.konferenca.registration.application,RegistrationJsonMapper,7,13,0,0,2,6,0,2,0,2
registration-backend,si.konferenca.registration.application,ValidationException,0,11,0,0,0,4,0,2,0,2
registration-backend,si.konferenca.registration.application,RegistrationCommand,0,36,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,NormalizedRegistration,0,39,0,0,0,4,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationService,12,169,1,1,3,46,1,7,0,7
registration-backend,si.konferenca.registration.application,RegistrationStorageException,0,5,0,0,0,2,0,1,0,1
registration-backend,si.konferenca.registration.domain,Registration,0,142,0,2,0,34,0,18,0,17
registration-backend,si.konferenca.registration.domain,ConsentDefinition,0,12,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.domain,SelectedOption,4,54,2,2,2,14,2,8,0,8
registration-backend,si.konferenca.registration.domain,OptionCategory,0,42,0,0,0,9,0,3,0,3
registration-backend,si.konferenca.registration.domain,RegistrationType,0,28,0,0,0,7,0,3,0,3
registration-backend,si.konferenca.registration.domain,Registration.Builder,0,71,0,0,0,26,0,13,0,13
registration-backend,si.konferenca.registration.domain,ConferenceOption,0,15,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.infrastructure.export,PoiRegistrationWorkbookWriter,0,294,0,10,0,49,0,12,0,7
registration-backend,si.konferenca.registration.web.security,SecurityConfig,28,236,6,6,7,55,6,13,0,13
