GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
registration-backend,si.konferenca.registration.config,AppProperties.OptionEntry,0,15,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Recaptcha,0,15,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Cors,9,16,3,1,1,4,3,1,1,1
registration-backend,si.konferenca.registration.config,AppProperties.Backup,0,6,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties,6,40,1,3,0,4,1,2,0,1
registration-backend,si.konferenca.registration.config,AppProperties.ConsentEntry,0,12,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,ApplicationConfig,5,0,0,0,2,0,2,0,2,0
registration-backend,si.konferenca.registration.config,AppProperties.Conference,4,19,2,2,0,4,2,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Mail,3,25,2,2,1,4,2,2,0,2
registration-backend,si.konferenca.registration.config,AppProperties.Request,0,6,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.RateLimit,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.config,AppProperties.Organizer,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.web,ConferenceController,43,0,2,0,8,0,3,0,2,0
registration-backend,si.konferenca.registration.web,ApiExceptionHandler,125,0,10,0,27,0,19,0,14,0
registration-backend,si.konferenca.registration.web,RegistrationController,22,0,0,0,6,0,2,0,2,0
registration-backend,si.konferenca.registration.web,ExportController,51,0,0,0,16,0,3,0,3,0
registration-backend,si.konferenca.registration.infrastructure.backup,FileRegistrationBackup,6,61,0,0,3,14,0,3,0,3
registration-backend,si.konferenca.registration,Application,8,0,0,0,3,0,2,0,2,0
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse.ConsentDto,22,0,0,0,2,0,2,0,2,0
registration-backend,si.konferenca.registration.web.dto,ErrorResponse,26,0,2,0,4,0,3,0,2,0
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse.RecaptchaDto,9,0,0,0,1,0,1,0,1,0
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse.OptionDto,22,0,0,0,2,0,2,0,2,0
registration-backend,si.konferenca.registration.web.dto,RegistrationResponse,9,0,0,0,1,0,1,0,1,0
registration-backend,si.konferenca.registration.web.dto,ConferenceResponse,12,0,0,0,1,0,1,0,1,0
registration-backend,si.konferenca.registration.web.dto,RegistrationRequest,62,0,0,0,2,0,2,0,2,0
registration-backend,si.konferenca.registration.infrastructure.captcha,RecaptchaVerifier,0,142,4,18,0,39,4,11,0,4
registration-backend,si.konferenca.registration.infrastructure.captcha,RecaptchaVerifier.SiteVerifyResponse,0,6,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.web.filter,RegistrationRateLimitFilter,52,0,6,0,14,0,6,0,3,0
registration-backend,si.konferenca.registration.web.filter,ErrorResponseWriter,23,0,0,0,8,0,2,0,2,0
registration-backend,si.konferenca.registration.web.filter,RequestSizeLimitFilter,43,0,4,0,11,0,5,0,3,0
registration-backend,si.konferenca.registration.web.filter,RequestSizeLimitFilter.BoundedRequest,22,0,2,0,6,0,3,0,2,0
registration-backend,si.konferenca.registration.web.filter,PayloadTooLargeException,4,0,0,0,2,0,1,0,1,0
registration-backend,si.konferenca.registration.web.filter,FixedWindowRateLimiter.Window,0,30,0,2,0,3,0,4,0,3
registration-backend,si.konferenca.registration.web.filter,RequestSizeLimitFilter.BoundedInputStream,65,0,6,0,20,0,10,0,7,0
registration-backend,si.konferenca.registration.web.filter,FixedWindowRateLimiter,26,81,4,8,2,18,4,6,1,3
registration-backend,si.konferenca.registration.infrastructure.mail,SmtpRegistrationNotifier,15,129,1,1,7,37,1,6,0,6
registration-backend,si.konferenca.registration.infrastructure.mail,RegistrationMailContent,4,198,2,10,1,51,2,9,0,5
registration-backend,si.konferenca.registration.application,FieldViolation,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationValidator,0,350,0,34,0,75,0,35,0,18
registration-backend,si.konferenca.registration.application,RegistrationService.StoredRegistration,0,9,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationJsonMapper.Option,0,12,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationJsonMapper.Document,0,81,0,0,0,16,0,3,0,3
registration-backend,si.konferenca.registration.application,ExportService,23,0,0,0,7,0,2,0,2,0
registration-backend,si.konferenca.registration.application,CaptchaFailedException,0,4,0,0,0,2,0,1,0,1
registration-backend,si.konferenca.registration.application,CaptchaUnavailableException,0,5,0,0,0,2,0,1,0,1
registration-backend,si.konferenca.registration.application,ConferenceCatalog,0,200,3,19,0,39,3,18,0,10
registration-backend,si.konferenca.registration.application,RegistrationJsonMapper,7,13,0,0,2,6,0,2,0,2
registration-backend,si.konferenca.registration.application,ValidationException,0,11,0,0,0,4,0,2,0,2
registration-backend,si.konferenca.registration.application,RegistrationCommand,0,36,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.application,NormalizedRegistration,0,39,0,0,0,4,0,1,0,1
registration-backend,si.konferenca.registration.application,RegistrationService,5,176,1,1,1,48,1,7,0,7
registration-backend,si.konferenca.registration.application,RegistrationStorageException,0,5,0,0,0,2,0,1,0,1
registration-backend,si.konferenca.registration.domain,Registration,13,129,0,2,1,33,1,17,1,16
registration-backend,si.konferenca.registration.domain,ConsentDefinition,0,12,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.domain,SelectedOption,23,35,4,0,6,10,4,6,2,6
registration-backend,si.konferenca.registration.domain,OptionCategory,0,42,0,0,0,9,0,3,0,3
registration-backend,si.konferenca.registration.domain,RegistrationType,0,28,0,0,0,7,0,3,0,3
registration-backend,si.konferenca.registration.domain,Registration.Builder,0,71,0,0,0,26,0,13,0,13
registration-backend,si.konferenca.registration.domain,ConferenceOption,0,15,0,0,0,1,0,1,0,1
registration-backend,si.konferenca.registration.infrastructure.export,PoiRegistrationWorkbookWriter,0,294,0,10,0,49,0,12,0,7
registration-backend,si.konferenca.registration.web.security,SecurityConfig,264,0,12,0,62,0,19,0,13,0
