file,statements_pct,statements_covered,statements_total,branches_pct,functions_pct,lines_pct
src/api/app.ts,100,29,29,73.33,100,100
src/api/middleware/basicAuth.ts,100,20,20,83.33,100,100
src/api/middleware/errorHandler.ts,92.85,26,28,84.21,100,92.85
src/api/middleware/rateLimit.ts,100,6,6,50,100,100
src/api/middleware/security.ts,100,12,12,70,100,100
src/api/routes/export.ts,100,11,11,100,100,100
src/api/routes/health.ts,100,4,4,100,100,100
src/api/routes/registrationConfig.ts,100,7,7,100,100,100
src/api/routes/registrations.ts,88.88,8,9,100,66.66,88.88
src/application/exportService.ts,85.71,6,7,0,75,85.71
src/application/formTokenService.ts,93.33,42,45,93.33,100,93.18
src/application/registrationService.ts,93.22,55,59,87.5,100,92.98
src/config/env.ts,94.73,18,19,75,85.71,94.73
src/config/formatIssues.ts,100,2,2,100,100,100
src/config/optionsConfig.ts,78.12,25,32,91.66,90,77.41
src/domain/errors.ts,100,28,28,100,100,100
src/domain/normalize.ts,100,26,26,100,100,100
src/domain/ports/mailPort.ts,100,0,0,100,100,100
src/domain/reference.ts,100,10,10,100,100,100
src/domain/registration.ts,100,4,4,100,100,100
src/domain/schema/optionsConfigSchema.ts,100,15,15,100,100,100
src/domain/schema/registrationSchema.ts,95.74,90,94,88.75,100,95.65
src/infrastructure/backup/jsonBackupStore.ts,94.28,33,35,50,100,94.28
src/infrastructure/db/database.ts,78.57,11,14,50,50,78.57
src/infrastructure/db/migrations.ts,100,13,13,100,100,100
src/infrastructure/db/registrationRepository.ts,97.05,33,34,80,100,96.96
src/infrastructure/excel/excelExporter.ts,100,24,24,91.66,100,100
src/infrastructure/logging/logger.ts,50,1,2,0,0,50
src/infrastructure/mail/mailer.ts,100,9,9,50,100,100
src/infrastructure/mail/templates.ts,100,29,29,60,100,100
TOTAL,95.21,597,627,82.82,96.02,95.12
